ID,Label,NodeType
479,1504603750714937344,4
480,murtazaatif7,3
481,mufaddal_vohra,1
482,mrinangoc,1
483,1504574057638817809,4
484,memes,2
485,khadaksingh_,1
486,firdosem,1
487,smileandraja,3
488,abhinandan673,1
489,1504552923459915776,4
490,businessstandard,2
491,ausbiz,2
492,1504554578452234242,4
493,djbravo47,1
494,imjagga_711,3
495,1504570009854824448,4
496,stokesy,2
497,alam_sakif,3
498,banvssa,2
499,1504587238155370497,4
500,cricbuzz,1
501,1504571060368326657,4
502,1504569048423493632,4
503,engvswi,2
504,mokhtiarali,1
505,ipl,2
506,psl,2
507,mufaddal_vohra,3
508,mrinangoc,3
509,1504568901786812416,4
510,khadaksingh_,3
511,firdosem,3
512,rcb_itcell,1
513,abhinandan673,3
514,icc,2
515,kiz,1
516,1504551950099968000,4
517,djbravo47,3
518,sonysportsnetwk,1
519,1504608485106888711,4
520,testcricket,2
521,bettingtipster,2
522,1504560197636968461,4
523,yccc33,3
524,1504567548226019333,4
525,cricbuzz,3
526,imraina,1
527,1504601101684850689,4
528,merelaurepe,3
529,1504558473828257800,4
530,1504566534156742656,4
531,1504573838855598081,4
532,mokhtiarali,3
533,1504572436532109313,4
534,1504571555736702985,4
535,1504558546549190657,4
536,1504570359399563266,4
537,ipl2022,2
538,greenrootsej,3
539,whellumanthony,1
540,thelegatein,3
541,rcb_itcell,3
542,1504559386026520580,4
543,1504554996741943298,4
544,gmail,1
545,tataipl2022,2
546,imhp33,1
